# Time (s),Altitude (m),Vertical velocity (m/s),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​)
0.002,-1.18E-05,-0.012,2.747,0.013,1.215,3.48E-05
0.004,3.66E-06,0.004,2.747,0.013,1.215,1.08E-05
0.006,3.02E-05,0.023,2.747,0.013,1.215,6.71E-05
0.008,1.11E-04,0.057,2.747,0.013,1.215,1.69E-04
0.01,2.76E-04,0.108,2.746,0.013,1.215,3.16E-04
0.012,5.57E-04,0.173,2.746,0.013,1.215,5.09E-04
0.014,9.85E-04,0.255,2.746,0.013,1.215,7.48E-04
0.016,0.002,0.351,2.746,0.013,1.215,0.001
0.018,0.002,0.463,2.746,0.013,1.215,0.001
0.02,0.003,0.591,2.746,0.013,1.214,0.002
0.022,0.005,0.734,2.745,0.013,1.214,0.002
0.024,0.006,0.893,2.745,0.013,1.214,0.003
0.026,0.008,1.068,2.745,0.013,1.214,0.003
0.028,0.011,1.257,2.745,0.013,1.214,0.004
0.03,0.013,1.463,2.745,0.013,1.214,0.004
0.032,0.017,1.684,2.745,0.013,1.214,0.005
0.034,0.02,1.92,2.744,0.013,1.214,0.006
0.036,0.024,2.172,2.744,0.013,1.214,0.006
0.038,0.029,2.439,2.744,0.013,1.214,0.007
0.04,0.034,2.72,2.744,0.013,1.214,0.008
0.042,0.04,3.003,2.744,0.013,1.214,0.009
0.044,0.046,3.285,2.743,0.013,1.214,0.01
0.046,0.053,3.566,2.743,0.013,1.214,0.01
0.048,0.06,3.846,2.743,0.013,1.214,0.011
0.05,0.068,4.126,2.742,0.013,1.214,0.012
0.052,0.077,4.405,2.742,0.013,1.214,0.013
0.054,0.086,4.683,2.742,0.013,1.214,0.014
0.056,0.096,4.961,2.741,0.013,1.213,0.015
0.058,0.106,5.238,2.741,0.013,1.213,0.015
0.06,0.116,5.515,2.741,0.013,1.213,0.016
0.062,0.128,5.79,2.74,0.013,1.213,0.017
0.064,0.14,6.066,2.74,0.013,1.213,0.018
0.066,0.152,6.34,2.74,0.013,1.213,0.019
0.068,0.165,6.614,2.74,0.013,1.213,0.019
0.07,0.179,6.887,2.739,0.013,1.213,0.02
0.072,0.193,7.159,2.739,0.013,1.213,0.021
0.074,0.207,7.431,2.739,0.013,1.213,0.022
0.076,0.222,7.702,2.738,0.013,1.213,0.023
0.078,0.238,7.973,2.738,0.013,1.213,0.023
0.08,0.254,8.243,2.738,0.013,1.213,0.024
0.082,0.271,8.512,2.737,0.013,1.212,0.025
0.084,0.288,8.78,2.737,0.013,1.212,0.026
0.086,0.306,9.048,2.737,0.013,1.212,0.027
0.088,0.324,9.315,2.736,0.013,1.212,0.027
0.09,0.343,9.582,2.736,0.013,1.212,0.028
0.092,0.363,9.848,2.736,0.013,1.212,0.029
0.094,0.383,10.113,2.735,0.013,1.212,0.03
0.096,0.403,10.377,2.735,0.013,1.212,0.03
0.098,0.424,10.641,2.735,0.013,1.212,0.031
0.1,0.446,10.904,2.735,0.013,1.212,0.032
0.102,0.468,11.167,2.734,0.013,1.212,0.033
0.104,0.49,11.429,2.734,0.013,1.212,0.034
0.106,0.514,11.69,2.734,0.013,1.212,0.034
0.108,0.537,11.95,2.733,0.013,1.211,0.035
0.11,0.561,12.21,2.733,0.013,1.211,0.036
0.112,0.586,12.469,2.733,0.013,1.211,0.037
0.114,0.611,12.728,2.732,0.013,1.211,0.037
0.116,0.637,12.986,2.732,0.013,1.211,0.038
0.118,0.663,13.243,2.732,0.013,1.211,0.039
0.12,0.69,13.499,2.731,0.013,1.211,0.04
0.122,0.717,13.755,2.731,0.013,1.211,0.04
0.124,0.745,14.011,2.731,0.013,1.211,0.041
0.126,0.773,14.266,2.731,0.013,1.211,0.042
0.128,0.802,14.52,2.73,0.013,1.211,0.043
0.13,0.831,14.774,2.73,0.013,1.211,0.043
0.132,0.861,15.027,2.73,0.013,1.211,0.044
0.134,0.891,15.28,2.729,0.013,1.211,0.045
0.136,0.922,15.533,2.729,0.013,1.21,0.046
0.138,0.954,15.785,2.729,0.013,1.21,0.046
0.14,0.985,16.036,2.728,0.013,1.21,0.047
0.142,1.018,16.287,2.728,0.013,1.21,0.048
0.144,1.05,16.537,2.728,0.013,1.21,0.049
0.146,1.084,16.787,2.728,0.013,1.21,0.049
0.148,1.118,17.036,2.727,0.013,1.21,0.05
0.15,1.152,17.285,2.727,0.013,1.21,0.051
0.152,1.187,17.534,2.727,0.013,1.21,0.052
0.154,1.222,17.781,2.726,0.013,1.21,0.052
0.156,1.258,18.029,2.726,0.013,1.21,0.053
0.158,1.294,18.276,2.726,0.013,1.21,0.054
0.16,1.331,18.522,2.726,0.013,1.21,0.054
0.162,1.368,18.768,2.725,0.013,1.21,0.055
0.164,1.406,19.013,2.725,0.013,1.209,0.056
0.166,1.444,19.258,2.725,0.013,1.209,0.057
0.168,1.483,19.502,2.724,0.013,1.209,0.057
0.17,1.522,19.746,2.724,0.013,1.209,0.058
0.172,1.562,19.989,2.724,0.013,1.209,0.059
0.174,1.602,20.232,2.724,0.013,1.209,0.059
0.176,1.643,20.474,2.723,0.013,1.209,0.06
0.178,1.684,20.715,2.723,0.013,1.209,0.061
0.18,1.726,20.957,2.723,0.013,1.209,0.062
0.182,1.768,21.197,2.722,0.013,1.209,0.062
0.184,1.811,21.437,2.722,0.013,1.209,0.063
0.186,1.854,21.677,2.722,0.013,1.209,0.064
0.188,1.897,21.916,2.722,0.013,1.209,0.064
0.19,1.941,22.155,2.721,0.013,1.209,0.065
0.192,1.986,22.393,2.721,0.013,1.208,0.066
0.194,2.031,22.63,2.721,0.013,1.208,0.066
0.196,2.077,22.867,2.72,0.013,1.208,0.067
0.198,2.122,23.104,2.72,0.013,1.208,0.068
0.2,2.169,23.34,2.72,0.013,1.208,0.069
0.202,2.216,23.576,2.72,0.013,1.208,0.069
0.204,2.263,23.811,2.719,0.013,1.208,0.07
0.206,2.311,24.046,2.719,0.013,1.208,0.071
0.208,2.359,24.28,2.719,0.013,1.208,0.071
0.21,2.408,24.514,2.718,0.013,1.208,0.072
0.212,2.457,24.748,2.718,0.013,1.208,0.073
0.214,2.507,24.981,2.718,0.013,1.208,0.073
0.216,2.557,25.214,2.718,0.013,1.208,0.074
0.218,2.608,25.447,2.717,0.013,1.208,0.075
0.22,2.659,25.679,2.717,0.013,1.207,0.075
0.222,2.711,25.911,2.717,0.013,1.207,0.076
0.224,2.763,26.143,2.717,0.013,1.207,0.077
0.226,2.815,26.374,2.716,0.013,1.207,0.077
0.228,2.868,26.604,2.716,0.013,1.207,0.078
0.23,2.922,26.835,2.716,0.013,1.207,0.079
0.232,2.976,27.065,2.716,0.013,1.207,0.08
0.234,3.03,27.294,2.715,0.013,1.207,0.08
0.236,3.085,27.523,2.715,0.013,1.207,0.081
0.238,3.14,27.752,2.715,0.013,1.207,0.082
0.24,3.196,27.981,2.714,0.013,1.207,0.082
0.242,3.252,28.209,2.714,0.013,1.207,0.083
0.244,3.309,28.436,2.714,0.013,1.207,0.084
0.246,3.366,28.664,2.714,0.013,1.207,0.084
0.248,3.423,28.891,2.713,0.013,1.207,0.085
0.25,3.481,29.117,2.713,0.013,1.207,0.086
0.252,3.54,29.343,2.713,0.013,1.206,0.086
0.254,3.599,29.569,2.713,0.013,1.206,0.087
0.256,3.658,29.794,2.712,0.013,1.206,0.088
0.258,3.718,30.019,2.712,0.013,1.206,0.088
0.26,3.778,30.244,2.712,0.013,1.206,0.089
0.262,3.839,30.468,2.711,0.013,1.206,0.09
0.264,3.9,30.692,2.711,0.013,1.206,0.09
0.266,3.962,30.916,2.711,0.013,1.206,0.091
0.268,4.024,31.139,2.711,0.013,1.206,0.091
0.27,4.086,31.361,2.71,0.013,1.206,0.092
0.272,4.149,31.584,2.71,0.013,1.206,0.093
0.274,4.213,31.806,2.71,0.013,1.206,0.093
0.276,4.276,32.027,2.71,0.013,1.206,0.094
0.278,4.341,32.248,2.709,0.013,1.206,0.095
0.28,4.405,32.469,2.709,0.013,1.206,0.095
0.282,4.47,32.69,2.709,0.013,1.205,0.096
0.284,4.536,32.91,2.708,0.013,1.205,0.097
0.286,4.602,33.129,2.708,0.013,1.205,0.097
0.288,4.669,33.349,2.708,0.013,1.205,0.098
0.29,4.736,33.567,2.708,0.013,1.205,0.099
0.292,4.803,33.786,2.707,0.013,1.205,0.099
0.294,4.871,34.004,2.707,0.013,1.205,0.1
0.296,4.939,34.222,2.707,0.013,1.205,0.101
0.298,5.008,34.439,2.707,0.013,1.205,0.101
0.301,5.111,34.764,2.706,0.013,1.205,0.102
0.306,5.269,35.25,2.706,0.013,1.205,0.104
0.312,5.509,35.976,2.705,0.013,1.204,0.106
0.322,5.874,37.043,2.704,0.013,1.204,0.109
0.332,6.25,38.1,2.702,0.013,1.204,0.112
0.342,6.636,39.147,2.701,0.013,1.204,0.115
0.352,7.033,40.184,2.7,0.013,1.203,0.118
0.362,7.44,41.211,2.698,0.013,1.203,0.121
0.372,7.857,42.231,2.697,0.013,1.203,0.124
0.382,8.285,43.243,2.696,0.013,1.202,0.127
0.392,8.722,44.248,2.695,0.013,1.202,0.13
0.402,9.169,45.247,2.694,0.013,1.202,0.133
0.412,9.627,46.238,2.692,0.013,1.201,0.136
0.422,10.094,47.222,2.691,0.013,1.201,0.139
0.432,10.571,48.199,2.69,0.013,1.201,0.142
0.442,11.058,49.169,2.689,0.013,1.201,0.144
0.452,11.555,50.13,2.688,0.013,1.2,0.147
0.462,12.061,51.082,2.687,0.013,1.2,0.15
0.472,12.576,52.025,2.685,0.013,1.2,0.153
0.482,13.101,52.958,2.684,0.013,1.199,0.156
0.492,13.635,53.882,2.683,0.013,1.199,0.158
0.502,14.179,54.797,2.682,0.013,1.199,0.161
0.512,14.731,55.702,2.681,0.013,1.199,0.164
0.522,15.293,56.597,2.68,0.013,1.198,0.166
0.532,15.863,57.484,2.679,0.013,1.198,0.169
0.542,16.442,58.363,2.678,0.013,1.198,0.171
0.552,17.03,59.234,2.676,0.013,1.198,0.174
0.562,17.627,60.097,2.675,0.013,1.197,0.177
0.572,18.232,60.951,2.674,0.013,1.197,0.179
0.582,18.846,61.798,2.673,0.013,1.197,0.182
0.592,19.468,62.636,2.672,0.013,1.196,0.184
0.602,20.099,63.466,2.671,0.013,1.196,0.186
0.612,20.737,64.29,2.67,0.013,1.196,0.189
0.622,21.384,65.107,2.669,0.013,1.196,0.191
0.632,22.04,65.918,2.668,0.013,1.195,0.194
0.642,22.703,66.723,2.667,0.013,1.195,0.196
0.652,23.374,67.522,2.666,0.013,1.195,0.198
0.662,24.053,68.315,2.665,0.013,1.195,0.201
0.672,24.74,69.102,2.664,0.013,1.194,0.203
0.682,25.435,69.883,2.663,0.013,1.194,0.205
0.692,26.138,70.657,2.662,0.013,1.194,0.208
0.702,26.848,71.425,2.661,0.013,1.194,0.21
0.712,27.566,72.186,2.66,0.013,1.193,0.212
