# Time (s),Altitude (m),Vertical velocity (m/s),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (m),Mach number (​)
0.722,28.292,72.939,2.659,0.013,1.193,0.214
0.732,29.025,73.686,2.658,0.013,1.193,0.217
0.742,29.766,74.426,2.657,0.013,1.193,0.219
0.752,30.514,75.159,2.656,0.013,1.193,0.221
0.762,31.269,75.885,2.655,0.013,1.192,0.223
0.772,32.031,76.607,2.654,0.013,1.192,0.225
0.782,32.801,77.327,2.653,0.013,1.192,0.227
0.792,33.578,78.045,2.652,0.013,1.192,0.229
0.802,34.362,78.762,2.652,0.013,1.191,0.231
0.812,35.153,79.476,2.651,0.013,1.191,0.234
0.822,35.951,80.189,2.65,0.013,1.191,0.236
0.832,36.757,80.9,2.649,0.013,1.191,0.238
0.842,37.569,81.609,2.648,0.013,1.19,0.24
0.852,38.389,82.315,2.647,0.013,1.19,0.242
0.862,39.216,83.016,2.646,0.013,1.19,0.244
0.872,40.049,83.712,2.645,0.013,1.19,0.246
0.882,40.89,84.404,2.644,0.013,1.19,0.248
0.892,41.737,85.091,2.643,0.013,1.189,0.25
0.902,42.592,85.772,2.642,0.013,1.189,0.252
0.912,43.453,86.449,2.642,0.013,1.189,0.254
0.922,44.321,87.121,2.641,0.013,1.189,0.256
0.932,45.195,87.789,2.64,0.013,1.188,0.258
0.942,46.076,88.453,2.639,0.013,1.188,0.26
0.952,46.964,89.113,2.638,0.013,1.188,0.262
0.962,47.859,89.77,2.637,0.013,1.188,0.264
0.972,48.76,90.424,2.636,0.013,1.188,0.266
0.982,49.667,91.073,2.635,0.013,1.187,0.268
0.992,50.581,91.72,2.634,0.013,1.187,0.27
1.002,51.501,92.363,2.634,0.013,1.187,0.272
1.012,52.428,93,2.633,0.013,1.187,0.273
1.022,53.361,93.631,2.632,0.013,1.187,0.275
1.032,54.301,94.254,2.631,0.013,1.186,0.277
1.042,55.246,94.869,2.63,0.013,1.186,0.279
1.052,56.198,95.477,2.629,0.013,1.186,0.281
1.062,57.156,96.077,2.629,0.013,1.186,0.282
1.072,58.12,96.669,2.628,0.013,1.186,0.284
1.082,59.089,97.254,2.627,0.013,1.185,0.286
1.092,60.065,97.833,2.626,0.013,1.185,0.288
1.102,61.046,98.408,2.625,0.013,1.185,0.289
1.112,62.033,98.979,2.625,0.013,1.185,0.291
1.122,63.025,99.547,2.624,0.013,1.185,0.293
1.132,64.024,100.111,2.623,0.013,1.184,0.294
1.142,65.028,100.672,2.622,0.013,1.184,0.296
1.152,66.037,101.229,2.622,0.013,1.184,0.298
1.162,67.052,101.782,2.621,0.013,1.184,0.299
1.172,68.073,102.332,2.62,0.013,1.184,0.301
1.182,69.099,102.876,2.619,0.013,1.183,0.302
1.192,70.13,103.414,2.618,0.013,1.183,0.304
1.202,71.167,103.946,2.618,0.013,1.183,0.306
1.212,72.209,104.473,2.617,0.013,1.183,0.307
1.222,73.257,104.995,2.616,0.013,1.183,0.309
1.232,74.309,105.51,2.616,0.013,1.182,0.31
1.242,75.367,106.02,2.615,0.013,1.182,0.312
1.252,76.429,106.522,2.614,0.013,1.182,0.313
1.262,77.497,107.009,2.613,0.013,1.182,0.315
1.272,78.57,107.481,2.613,0.013,1.182,0.316
1.282,79.647,107.936,2.612,0.013,1.182,0.317
1.292,80.728,108.376,2.611,0.013,1.181,0.319
1.302,81.814,108.8,2.611,0.013,1.181,0.32
1.312,82.904,109.208,2.61,0.013,1.181,0.321
1.322,83.998,109.6,2.61,0.013,1.181,0.322
1.332,85.096,109.977,2.609,0.013,1.181,0.323
1.342,86.198,110.342,2.608,0.013,1.181,0.324
1.352,87.303,110.696,2.608,0.013,1.181,0.326
1.362,88.411,111.039,2.607,0.013,1.18,0.327
1.372,89.523,111.37,2.607,0.013,1.18,0.328
1.382,90.639,111.689,2.606,0.013,1.18,0.328
1.392,91.757,111.998,2.606,0.013,1.18,0.329
1.402,92.879,112.294,2.605,0.013,1.18,0.33
1.412,94.003,112.581,2.605,0.013,1.18,0.331
1.422,95.13,112.861,2.604,0.013,1.18,0.332
1.432,96.26,113.134,2.604,0.013,1.18,0.333
1.442,97.393,113.402,2.603,0.013,1.179,0.334
1.452,98.528,113.663,2.603,0.013,1.179,0.334
1.462,99.666,113.917,2.603,0.013,1.179,0.335
1.472,100.807,114.166,2.602,0.013,1.179,0.336
1.482,101.949,114.408,2.602,0.013,1.179,0.337
1.492,103.095,114.643,2.601,0.013,1.179,0.337
1.502,104.242,114.867,2.601,0.013,1.179,0.338
1.512,105.392,115.08,2.6,0.013,1.179,0.338
1.522,106.544,115.281,2.6,0.013,1.179,0.339
1.532,107.698,115.47,2.6,0.013,1.179,0.34
1.542,108.853,115.647,2.599,0.013,1.178,0.34
1.552,110.01,115.813,2.599,0.013,1.178,0.341
1.562,111.169,115.967,2.599,0.013,1.178,0.341
1.572,112.33,116.11,2.598,0.013,1.178,0.342
1.582,113.491,116.245,2.598,0.013,1.178,0.342
1.592,114.655,116.373,2.598,0.013,1.178,0.342
1.602,115.819,116.495,2.597,0.013,1.178,0.343
1.612,116.984,116.609,2.597,0.013,1.178,0.343
1.622,118.151,116.716,2.597,0.013,1.178,0.343
1.632,119.319,116.817,2.597,0.013,1.178,0.344
1.642,120.487,116.911,2.596,0.013,1.178,0.344
1.652,121.657,116.998,2.596,0.013,1.178,0.344
1.662,122.827,117.079,2.596,0.013,1.178,0.344
1.672,123.998,117.154,2.596,0.013,1.178,0.345
1.682,125.17,117.224,2.595,0.013,1.177,0.345
1.692,126.343,117.288,2.595,0.013,1.177,0.345
1.702,127.516,117.347,2.595,0.013,1.177,0.345
1.712,128.69,117.399,2.595,0.013,1.177,0.345
1.722,129.864,117.447,2.594,0.013,1.177,0.346
1.732,131.039,117.489,2.594,0.013,1.177,0.346
1.742,132.214,117.528,2.594,0.013,1.177,0.346
1.752,133.389,117.565,2.594,0.013,1.177,0.346
1.762,134.565,117.6,2.594,0.013,1.177,0.346
1.772,135.741,117.634,2.593,0.013,1.177,0.346
1.782,136.918,117.665,2.593,0.013,1.177,0.346
1.792,138.095,117.695,2.593,0.013,1.177,0.346
1.802,139.272,117.722,2.593,0.013,1.177,0.346
1.812,140.449,117.747,2.593,0.013,1.177,0.346
1.822,141.627,117.766,2.593,0.013,1.177,0.347
1.832,142.804,117.778,2.592,0.013,1.177,0.347
1.842,143.982,117.781,2.592,0.013,1.177,0.347
1.852,145.16,117.777,2.592,0.013,1.177,0.347
1.862,146.338,117.765,2.592,0.013,1.177,0.347
1.872,147.515,117.746,2.592,0.013,1.177,0.347
1.882,148.692,117.719,2.592,0.013,1.177,0.346
1.892,149.869,117.685,2.592,0.013,1.177,0.346
1.902,151.046,117.645,2.591,0.013,1.177,0.346
1.912,152.222,117.601,2.591,0.013,1.176,0.346
1.922,153.398,117.553,2.591,0.013,1.176,0.346
1.932,154.573,117.501,2.591,0.013,1.176,0.346
1.942,155.748,117.445,2.591,0.013,1.176,0.346
1.952,156.922,117.384,2.591,0.013,1.176,0.345
1.962,158.096,117.32,2.591,0.013,1.176,0.345
1.972,159.269,117.251,2.591,0.013,1.176,0.345
1.982,160.441,117.176,2.591,0.013,1.176,0.345
1.992,161.612,117.093,2.591,0.013,1.176,0.345
2.002,162.783,117.002,2.591,0.013,1.176,0.344
2.012,163.952,116.903,2.591,0.013,1.176,0.344
2.022,165.121,116.796,2.591,0.013,1.176,0.344
2.032,166.288,116.681,2.591,0.013,1.176,0.343
2.042,167.454,116.558,2.591,0.013,1.176,0.343
2.052,168.59,116.43,2.59,0.013,1.176,0.343
2.062,169.754,116.296,2.59,0.013,1.176,0.342
2.072,170.916,116.161,2.59,0.013,1.176,0.342
2.082,172.077,116.026,2.59,0.013,1.176,0.342
2.092,173.236,115.892,2.59,0.013,1.176,0.341
2.102,174.395,115.758,2.59,0.013,1.176,0.341
2.112,175.552,115.624,2.59,0.013,1.176,0.34
2.122,176.707,115.489,2.59,0.013,1.176,0.34
2.132,177.861,115.355,2.59,0.013,1.176,0.34
2.142,179.014,115.221,2.59,0.013,1.176,0.339
2.152,180.166,115.088,2.59,0.013,1.176,0.339
2.162,181.316,114.954,2.59,0.013,1.176,0.338
2.172,182.465,114.82,2.59,0.013,1.176,0.338
2.182,183.612,114.686,2.59,0.013,1.176,0.338
2.192,184.759,114.553,2.59,0.013,1.176,0.337
2.202,185.903,114.42,2.59,0.013,1.176,0.337
2.212,187.047,114.286,2.59,0.013,1.176,0.336
2.222,188.189,114.153,2.59,0.013,1.176,0.336
2.232,189.33,114.02,2.59,0.013,1.176,0.336
2.242,190.47,113.887,2.59,0.013,1.176,0.335
2.252,191.608,113.754,2.59,0.013,1.176,0.335
2.262,192.745,113.621,2.59,0.013,1.176,0.335
2.272,193.88,113.488,2.59,0.013,1.176,0.334
2.282,195.014,113.355,2.59,0.013,1.176,0.334
2.292,196.147,113.223,2.59,0.013,1.176,0.333
2.302,197.279,113.09,2.59,0.013,1.176,0.333
2.312,198.409,112.958,2.59,0.013,1.176,0.333
2.322,199.538,112.825,2.59,0.013,1.176,0.332
2.332,200.666,112.693,2.59,0.013,1.176,0.332
2.342,201.792,112.561,2.59,0.013,1.176,0.331
2.352,202.917,112.429,2.59,0.013,1.176,0.331
2.362,204.04,112.297,2.59,0.013,1.176,0.331
2.372,205.163,112.165,2.59,0.013,1.176,0.33
2.382,206.284,112.033,2.59,0.013,1.176,0.33
2.392,207.403,111.901,2.59,0.013,1.176,0.33
2.402,208.522,111.769,2.59,0.013,1.176,0.329
2.412,209.639,111.638,2.59,0.013,1.176,0.329
2.422,210.755,111.506,2.59,0.013,1.176,0.328
2.432,211.869,111.375,2.59,0.013,1.176,0.328
2.442,212.982,111.243,2.59,0.013,1.176,0.328
2.452,214.094,111.112,2.59,0.013,1.176,0.327
2.462,215.204,110.981,2.59,0.013,1.176,0.327
2.472,216.313,110.849,2.59,0.013,1.176,0.326
2.482,217.421,110.718,2.59,0.013,1.176,0.326
2.492,218.528,110.587,2.59,0.013,1.176,0.326
2.502,219.633,110.457,2.59,0.013,1.176,0.325
2.512,220.737,110.326,2.59,0.013,1.176,0.325
2.522,221.839,110.195,2.59,0.013,1.176,0.325
2.532,222.941,110.064,2.59,0.013,1.176,0.324
2.542,224.041,109.934,2.59,0.013,1.176,0.324
2.552,225.139,109.803,2.59,0.013,1.176,0.323
2.562,226.237,109.673,2.59,0.013,1.176,0.323
2.572,227.333,109.543,2.59,0.013,1.176,0.323
2.582,228.428,109.412,2.59,0.013,1.176,0.322
2.592,229.521,109.282,2.59,0.013,1.176,0.322
2.602,230.613,109.152,2.59,0.013,1.176,0.322
2.612,231.704,109.022,2.59,0.013,1.176,0.321
2.622,232.794,108.892,2.59,0.013,1.176,0.321
2.632,233.882,108.762,2.59,0.013,1.176,0.32
2.642,234.969,108.633,2.59,0.013,1.176,0.32
2.652,236.055,108.503,2.59,0.013,1.176,0.32
2.662,237.139,108.373,2.59,0.013,1.176,0.319
2.672,238.222,108.244,2.59,0.013,1.176,0.319
2.682,239.304,108.114,2.59,0.013,1.176,0.319
2.692,240.384,107.985,2.59,0.013,1.176,0.318
2.702,241.464,107.856,2.59,0.013,1.176,0.318
2.712,242.542,107.727,2.59,0.013,1.176,0.317
2.722,243.618,107.598,2.59,0.013,1.176,0.317
2.732,244.694,107.468,2.59,0.013,1.176,0.317
2.742,245.768,107.34,2.59,0.013,1.176,0.316
2.752,246.84,107.211,2.59,0.013,1.176,0.316
2.762,247.912,107.082,2.59,0.013,1.176,0.315
2.772,248.982,106.953,2.59,0.013,1.176,0.315
2.782,250.051,106.824,2.59,0.013,1.176,0.315
2.792,251.118,106.696,2.59,0.013,1.176,0.314
2.802,252.185,106.567,2.59,0.013,1.176,0.314
2.812,253.25,106.439,2.59,0.013,1.176,0.314
2.822,254.314,106.311,2.59,0.013,1.176,0.313
2.832,255.376,106.182,2.59,0.013,1.176,0.313
2.842,256.437,106.054,2.59,0.013,1.176,0.312
2.852,257.497,105.926,2.59,0.013,1.176,0.312
2.862,258.556,105.798,2.59,0.013,1.176,0.312
2.872,259.613,105.67,2.59,0.013,1.176,0.311
2.882,260.669,105.542,2.59,0.013,1.176,0.311
2.892,261.724,105.414,2.59,0.013,1.176,0.311
2.902,262.777,105.287,2.59,0.013,1.176,0.31
2.912,263.83,105.159,2.59,0.013,1.176,0.31
2.922,264.881,105.031,2.59,0.013,1.176,0.31
2.932,265.93,104.904,2.59,0.013,1.176,0.309
2.942,266.979,104.776,2.59,0.013,1.176,0.309
2.952,268.026,104.649,2.59,0.013,1.176,0.308
2.962,269.072,104.522,2.59,0.013,1.176,0.308
2.972,270.116,104.394,2.59,0.013,1.176,0.308
2.982,271.16,104.267,2.59,0.013,1.176,0.307
2.992,272.202,104.14,2.59,0.013,1.176,0.307
3.002,273.242,104.013,2.59,0.013,1.176,0.307
3.012,274.282,103.886,2.59,0.013,1.176,0.306
3.022,275.32,103.759,2.59,0.013,1.176,0.306
3.032,276.357,103.633,2.59,0.013,1.176,0.305
3.042,277.393,103.506,2.59,0.013,1.176,0.305
3.052,278.427,103.379,2.59,0.013,1.176,0.305
3.062,279.46,103.253,2.59,0.013,1.176,0.304
3.072,280.492,103.126,2.59,0.013,1.176,0.304
3.082,281.523,103,2.59,0.013,1.176,0.304
3.092,282.552,102.874,2.59,0.013,1.176,0.303
3.102,283.58,102.747,2.59,0.013,1.176,0.303
3.112,284.607,102.621,2.59,0.013,1.176,0.302
3.122,285.633,102.495,2.59,0.013,1.176,0.302
3.132,286.657,102.369,2.59,0.013,1.176,0.302
3.142,287.68,102.243,2.59,0.013,1.176,0.301
3.152,288.702,102.117,2.59,0.013,1.176,0.301
3.162,289.722,101.991,2.59,0.013,1.176,0.301
3.172,290.742,101.865,2.59,0.013,1.176,0.3
3.182,291.76,101.74,2.59,0.013,1.176,0.3
3.192,292.777,101.614,2.59,0.013,1.176,0.3
3.202,293.792,101.489,2.59,0.013,1.176,0.299
3.212,294.806,101.363,2.59,0.013,1.176,0.299
3.222,295.819,101.238,2.59,0.013,1.176,0.298
3.232,296.831,101.112,2.59,0.013,1.176,0.298
3.242,297.842,100.987,2.59,0.013,1.176,0.298
3.252,298.851,100.862,2.59,0.013,1.176,0.297
3.262,299.859,100.737,2.59,0.013,1.176,0.297
3.272,300.866,100.612,2.59,0.013,1.176,0.297
3.282,301.871,100.487,2.59,0.013,1.176,0.296
3.292,302.875,100.362,2.59,0.013,1.176,0.296
3.302,303.878,100.237,2.59,0.013,1.176,0.296
3.312,304.88,100.112,2.59,0.013,1.176,0.295
3.322,305.88,99.987,2.59,0.013,1.176,0.295
3.332,306.88,99.863,2.59,0.013,1.176,0.294
3.342,307.878,99.738,2.59,0.013,1.176,0.294
3.352,308.875,99.614,2.59,0.013,1.176,0.294
3.362,309.87,99.489,2.59,0.013,1.176,0.293
3.372,310.864,99.365,2.59,0.013,1.176,0.293
3.382,311.857,99.241,2.59,0.013,1.176,0.293
3.392,312.849,99.116,2.59,0.013,1.176,0.292
3.402,313.84,98.992,2.59,0.013,1.176,0.292
3.412,314.829,98.868,2.59,0.013,1.176,0.292
3.422,315.817,98.744,2.59,0.013,1.176,0.291
3.432,316.804,98.62,2.59,0.013,1.176,0.291
3.442,317.789,98.496,2.59,0.013,1.176,0.29
3.452,318.774,98.372,2.59,0.013,1.176,0.29
3.462,319.757,98.249,2.59,0.013,1.176,0.29
3.472,320.739,98.125,2.59,0.013,1.176,0.289
3.482,321.719,98.001,2.59,0.013,1.176,0.289
3.492,322.699,97.878,2.59,0.013,1.176,0.289
3.502,323.677,97.754,2.59,0.013,1.176,0.288
3.512,324.654,97.631,2.59,0.013,1.176,0.288
3.522,325.63,97.508,2.59,0.013,1.176,0.288
3.532,326.604,97.384,2.59,0.013,1.176,0.287
3.542,327.577,97.261,2.59,0.013,1.176,0.287
3.552,328.549,97.138,2.59,0.013,1.176,0.286
3.562,329.52,97.015,2.59,0.013,1.176,0.286
3.572,330.49,96.892,2.59,0.013,1.176,0.286
3.582,331.458,96.769,2.59,0.013,1.176,0.285
3.592,332.425,96.646,2.59,0.013,1.176,0.285
3.602,333.391,96.523,2.59,0.013,1.176,0.285
3.612,334.355,96.4,2.59,0.013,1.176,0.284
3.622,335.319,96.278,2.59,0.013,1.176,0.284
3.632,336.281,96.155,2.59,0.013,1.176,0.284
3.642,337.242,96.032,2.59,0.013,1.176,0.283
3.652,338.202,95.91,2.59,0.013,1.176,0.283
3.662,339.16,95.787,2.59,0.013,1.176,0.283
3.672,340.117,95.665,2.59,0.013,1.176,0.282
3.682,341.073,95.543,2.59,0.013,1.176,0.282
3.692,342.028,95.421,2.59,0.013,1.176,0.281
3.702,342.982,95.298,2.59,0.013,1.176,0.281
3.712,343.934,95.176,2.59,0.013,1.176,0.281
3.722,344.885,95.054,2.59,0.013,1.176,0.28
