Time (s),Canard 1 Deflection (deg),Canard 2 Deflection (deg),Canard 3 Deflection (deg),Canard 4 Deflection (deg)
2.664,10.91,-10.24,1.76,-15.36
2.675,12.99,-9.74,2.76,-15.36
2.685,12.11,-10.22,2.36,-15.36
2.695,12.78,-10.56,2.06,-15.36
2.706,11.79,-12.7,2.18,-15.36
2.716,15,-9.9,3.54,-15.36
2.726,15,-10.34,3.66,-15.36
2.737,15,-10.52,3.9,-15.36
2.747,15,-13.08,5.42,-15.36
2.757,15,-13.7,6.28,-15.36
2.768,15,-14.11,6.19,-15.36
2.778,15,-14.41,6.81,-15.36
2.788,15,-15,7.3,-15.36
2.799,15,-15,7.29,-15.36
2.809,15,-15,8.17,-15.36
2.819,15,-15,8.87,-15.36
2.83,15,-15,10.6,-15.36
2.84,15,-14.4,12.25,-15.36
2.85,15,-13.91,13.18,-15.36
2.861,15,-14.4,13.75,-15.36
2.871,15,-15,14.12,-15.36
2.881,15,-15,13.65,-15.36
2.892,15,-15,14.79,-15.36
2.902,15,-15,15,-15.36
2.912,15,-13.88,15,-15.36
2.923,15,-11.84,15,-15.36
2.933,15,-8.56,15,-15.36
2.943,15,-4.55,15,-15.36
2.954,15,-0.81,15,-12.8
2.964,15,-2.74,15,-12.8
2.974,15,0.75,15,-10.24
2.985,15,1.85,15,-10.24
2.995,15,1.51,15,-10.24
3.006,15,0.43,15,-12.8
3.016,15,1.01,15,-12.8
3.027,15,2.1,15,-10.24
3.037,15,1.64,15,-10.24
3.048,15,-1.14,15,-12.8
3.058,15,1.26,15,-10.24
3.069,15,5.63,15,-15.36
3.079,15,1.02,15,-15.36
3.09,15,0.45,15,-15.36
3.1,15,-2.87,15,-15.36
3.111,15,-7.24,15,-15.36
3.121,15,-12.28,15,-15.36
3.132,15,-15,15,-15.36
3.143,5.89,-15,12.66,-15.36
3.153,2.14,-15,11.35,-15.36
3.164,5.59,-15,12.99,-15.36
3.174,7.05,-15,14.84,-15.36
3.185,9.52,-15,15,-15.36
3.195,9.54,-15,15,-15.36
3.206,10.64,-15,15,-15.36
3.216,14.28,-15,15,-15.36
3.227,15,-13.53,15,-15.36
3.238,15,-8.89,15,-15.36
3.248,15,-8.8,15,-15.36
3.259,15,-4.56,15,-10.24
3.27,15,1.23,15,-5.12
3.281,15,5.62,15,-2.56
3.291,15,8.76,15,0
3.302,15,13.1,15,2.56
3.313,15,15,15,5.12
3.323,15,15,15,10.24
3.334,15,15,15,7.68
3.344,15,15,15,7.68
3.355,15,15,15,5.12
3.366,15,15,15,7.68
3.376,15,15,15,10.24
3.387,15,15,15,12.8
3.397,15,15,15,12.8
3.408,15,15,15,12.8
3.418,15,15,15,12.8
3.429,15,15,15,12.8
3.439,15,15,15,12.8
3.45,15,15,15,12.8
3.46,15,15,15,12.8
3.471,15,15,15,12.8
3.482,15,15,15,12.8
3.492,15,15,15,12.8
3.503,15,15,12.49,12.8
3.513,15,15,11.89,12.8
3.524,15,15,7.84,7.68
3.535,15,15,1.19,-2.56
3.545,7.89,-3.05,-4.28,-15.36
3.556,-8.65,-15,-12.47,-15.36
3.567,-15,-15,-15,-15.36
3.577,-15,-15,-15,-15.36
3.588,-15,-15,-15,-15.36
3.598,-15,-15,-15,-15.36
3.609,-15,-15,-15,-15.36
3.619,-15,-15,-15,-15.36
3.63,-15,-15,-15,-15.36
3.64,-15,-15,-15,-15.36
3.65,-15,-15,-15,-15.36
3.661,-15,-15,-15,-15.36
3.672,-15,-15,-15,-15.36
3.682,-15,-15,-15,-15.36
3.693,15,-15,-15,-15.36
3.703,15,-15,-15,-15.36
3.714,15,-15,-15,-15.36
3.724,15,-15,-15,-15.36
3.735,15,-15,-15,-15.36
3.745,15,-15,15,-15.36
3.756,15,-15,15,-15.36
3.767,15,-15,15,-15.36
3.778,15,-15,15,-15.36
3.788,15,-15,-15,12.8
3.799,15,-15,-15,12.8
3.81,15,15,-15,-15.36
3.82,-15,-15,-15,12.8
3.831,-15,-15,15,12.8
3.841,-15,-15,15,12.8
3.852,-15,15,15,12.8
3.863,-15,15,-15,12.8
3.873,-15,15,-15,5.12
3.884,-15,15,-15,7.68
3.895,-15,-15,-15,12.8
3.906,15,-15,-15,12.8
3.916,15,-15,-15,12.8
3.927,15,-15,-15,12.8
3.938,15,15,-15,-15.36
3.949,15,15,-15,-15.36
3.96,15,15,-15,-15.36
3.97,15,-15,-15,-15.36
3.981,15,-15,-15,-15.36
3.992,15,-15,15,-15.36
4.002,15,-15,15,-15.36
4.013,15,-15,15,-15.36
4.024,15,-15,15,-15.36
4.035,15,-15,15,-15.36
4.045,15,-15,15,-15.36
4.056,-15,-15,15,-15.36
4.066,-15,-15,15,12.8
4.076,-15,-15,15,-15.36
4.087,-15,-15,-15,-15.36
4.097,-15,-15,-15,-15.36
4.108,-15,-15,-15,-15.36
4.118,-15,-15,-15,-15.36
4.129,-15,-15,-15,-15.36
4.14,-15,-15,-15,-15.36
